#Release 10.1 - par K.31 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Sat Jan 25 20:24:42 2025

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       ALUsch_32bit_map.ncd
#OUTPUT FILE:      ALUsch_32bit_pad.csv
#PART TYPE:        xa2s300e
#SPEED GRADE:      -6
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,,
A2,,,TCK,,,,,,,,,,,,,
A3,z<1>,IOB,IO_VREF_0_L0N_YY,OUTPUT,LVTTL*,0,12,SLOW,NONE**,,,,,NO,NONE,
A4,z<2>,IOB,IO_L0P_YY,OUTPUT,LVTTL*,0,12,SLOW,NONE**,,,,,NO,NONE,
A5,z<10>,IOB,IO_L4P_Y,OUTPUT,LVTTL*,0,12,SLOW,NONE**,,,,,NO,NONE,
A6,z<13>,IOB,IO,OUTPUT,LVTTL*,0,12,SLOW,NONE**,,,,,NO,NONE,
A7,z<18>,IOB,IO,OUTPUT,LVTTL*,0,12,SLOW,NONE**,,,,,NO,NONE,
A8,z<20>,IOB,IO_LVDS_DLL_L8P,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
A9,z<21>,IOB,IO_L9N,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
A10,z<25>,IOB,IO_L11N_Y,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
A11,z<30>,IOB,IO_L13N_Y,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
A12,a<4>,IOB,IO_L16N_YY,INPUT,LVTTL*,1,,,,NONE,,,,NO,NONE,
A13,a<8>,IOB,IO_WRITE_L18N_YY,INPUT,LVTTL*,1,,,,NONE,,,,NO,NONE,
